Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2010,503818,Terror Creek Loadout,Colorado,Delta,Uinta Region,Active,Underground,Operating Subsidiary,Preparation Plant,Terror Creek Llc,"1840 Hwy 133, Paonia, CO 81428",,0,6,11036
2010,504591,Bowie No 2 Mine,Colorado,Delta,Uinta Region,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Bowie Resources Llc,"P.O. Box 1488, Paonia, CO 81428",,1325208,287,496660
2010,503013,Mc Clane Canyon Mine,Colorado,Garfield,Uinta Region,Active,Underground,Indepedent Producer Operator,Mine only,"Mcclane Canyon Mining, Llc","P.O. Box 98, Loma, CO 81524",,199650,27,62783
2010,503672,West Elk Mine,Colorado,Gunnison,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Mountain Coal Company, L.L.C.","P.O. Box 591, Somerset, CO 81434",,4793507,354,771904
2010,504674,Elk Creek Mine,Colorado,Gunnison,Uinta Region,Active,Underground,Operating Subsidiary,Mine only,"Oxbow Mining, Llc","P.O. Box 535, Somerset, CO 81434",,3794262,365,673512
2010,504864,King Ii,Colorado,La Plata,Western,Active,Underground,Indepedent Producer Operator,Mine only,Gcc Energy Llc,"6473 County Road 120, Hesperus, CO 81326",,521839,56,132007
2010,504461,New Elk Prep Plant,Colorado,Las Animas,Western,"Active, men working, not producing",Underground,Indepedent Producer Operator,Preparation Plant,New Elk Coal Company Llc,"122 W First St, Trinidad, CO 81082",,0,11,9915
2010,502838,Trapper Mine,Colorado,Moffat,Uinta Region,Active,Surface,Indepedent Producer Operator,Mine only,Trapper Mining Inc,"P.O. Box 187, Craig, CO 81626",International Union of Operation Engineers,2188167,185,387137
2010,502962,Colowyo Mine,Colorado,Moffat,Uinta Region,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641",,2596629,278,573146
2010,500299,New Horizon Mine,Colorado,Montrose,Western,Active,Surface,Operating Subsidiary,Mine only,"Western Fuels-Colorado, Llc","P.O. Box 628, Nucla, CO 81424",United Mine Workers of America,293045,26,45917
2010,503505,Deserado Mine,Colorado,Rio Blanco,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Blue Mountain Energy Inc,"3607 County Road #65, Rangely, CO 81648",United Mine Workers of America,1723215,170,340406
2010,503836,Foidel Creek Mine,Colorado,Routt,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Peabody Twentymile Mining Llc,"29515 Routt County Rd#27, Oak Creek, CO 80467",,7727004,482,990459
2010,1103189,Mc#1 Mine,Illinois,Franklin,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,M-Class Mining Llc,"P.O. Box 229, Johnston City, IL 62951",,0,1,1595
2010,1103189,Mc#1 Mine,Illinois,Franklin,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,M-Class Mining Llc,"P.O. Box 229, Johnston City, IL 62951",,324493,62,135783
2010,1103207,Old Ben #25,Illinois,Franklin,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,S.I. Energy Llc,"1867 Antioch Road, West Frankfor, IL 62896",,0,4,8228
2010,1103207,Old Ben #25,Illinois,Franklin,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,S.I. Energy Llc,"1867 Antioch Road, West Frankfor, IL 62896",,0,4,8227
2010,1102751,I-1 Mine,Illinois,Gallatin,Illinois Basin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Illinois Fuel Company Llc,"P.O. Box 7, Herod, IL 62947",,117801,22,49704
2010,1103017,Wildcat Hills Mine - Cottage G,Illinois,Gallatin,Illinois Basin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715",,2127949,176,415864
2010,1103020,Creek Paum Mine,Illinois,Jackson,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Knight Hawk Coal Llc,"500 Cuttler-Trico Road, Percy, IL 62272",,650211,57,125165
2010,1103020,Creek Paum Mine,Illinois,Jackson,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Knight Hawk Coal Llc,"500 Cuttler-Trico Road, Percy, IL 62272",,0,3,7062
2010,1103140,Cora Terminal,Illinois,Jackson,Illinois Basin,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Kindermorganoperatinglp,""b""","262 Cora Road, Rockwood, IL 62280",International Union of Operation Engineers,0,26,51514
2010,1103140,Cora Terminal,Illinois,Jackson,Illinois Basin,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Kindermorganoperatinglp,""b""","262 Cora Road, Rockwood, IL 62280",International Union of Operation Engineers,0,26,51513
2010,1103209,North Grindstone Mine,Illinois,Mcdonough,Illinois Basin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Black Nugget Llc,"P.O. Box 235, Industry, IL 61440",,194778,28,61469
2010,1100726,Shay #1 Mine,Illinois,Macoupin,Illinois Basin,Active,Underground,Contractor,Mine and Preparation Plant,Maryan Mining Llc,"14300 Brushy Mound Rd, Carlinville, IL 62626",,1027224,71,144640
2010,1102632,Crown Iii Mine,Illinois,Macoupin,Illinois Basin,Active,Underground,Contractor,Mine and Preparation Plant,"Tri County Coal, Llc","2 Mine Avenue/P. O. Box 139, Farmersville, IL 62533",United Mine Workers of America,1310941,307,666265
2010,1103182,Deer Run Mine,Illinois,Montgomery,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Patton Mining Llc,"925 S. Main Street, Hillsboro, IL 62049",,20639,24,48857
2010,1103045,Red Hawk,Illinois,Perry,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",,509604,35,76909
2010,1103119,A M No 3,Illinois,Perry,Illinois Basin,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Auger Mining Inc,"P.O. Box 195, Freeburg, IL 62243",,4478,2,252
2010,1103143,Prairie Eagle,Illinois,Perry,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",,270345,22,46770
2010,1103143,Prairie Eagle,Illinois,Perry,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",,0,16,36520
2010,1103147,Prairie Eagle - Underground,Illinois,Perry,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Rd, Percy, IL 62272",,1573202,100,214455
2010,1103205,Prairie Eagle South Undergroun,Illinois,Perry,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine only,Knight Hawk Coal Llc,"500 Cutler-Trico Road, Percy, IL 62272",,843955,42,117294
2010,1102408,Gateway Mine,Illinois,Randolph,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine only,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715",,3197579,198,484085
2010,1102546,Preparation Plant,Illinois,Randolph,Illinois Basin,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Peabody Midwest Mining, Llc","P.O. Box 397, Coulterville, IL 62237",,0,28,68034
2010,1103225,Kinder Morgan Cahokia Terminal,Illinois,St Clair,Illinois Basin,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Kinder Morgan Operating Lp,","#2 Monsanto Avenute, Sauget, IL 62201",,0,24,47687
2010,1103225,Kinder Morgan Cahokia Terminal,Illinois,St Clair,Illinois Basin,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Kinder Morgan Operating Lp,","#2 Monsanto Avenute, Sauget, IL 62201",,0,16,31792
2010,1102752,The American Coal Company New,Illinois,Saline,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The American Coal Company,"P.O. Box 727, Harrisburg, IL 62946",,5774752,652,1619472
2010,1103054,Willow Lake Portal,Illinois,Saline,Illinois Basin,Active,Underground,Operating Subsidiary,Mine only,Big Ridge Inc,"420 Long Lane Road, Equality, IL 62934",AFCI,2920225,460,982589
2010,1103099,Willow Lake Central Preparatio,Illinois,Saline,Illinois Basin,Active,Surface,Operating Subsidiary,Preparation Plant,Big Ridge Inc,"420 Long Lane Road, Equality, IL 62934",AFCI,0,15,26203
