Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2012,1202295,Francisco Underground Pit,Indiana,Gibson,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","P.O. Box 347, Francisco, IN 47649",-,2756107,282,602051
2012,1202097,Switz City,Indiana,Greene,Active,Surface,Operating Subsidiary,Preparation Plant,Triad Mining Inc,"14521 W State Road 58, Edwardsport, IN 47528",-,0,2,3748
2012,1202097,Switz City,Indiana,Greene,Active,Underground,Operating Subsidiary,Preparation Plant,Triad Mining Inc,"14521 W State Road 58, Edwardsport, IN 47528",-,0,1,2944
2012,1202010,Air Quality #1 Mine,Indiana,Knox,"Active, men working, not producing",Underground,Contractor,Mine only,"Peabody Midwest Mining, Llc","P.O. Box 409, Monroe City, IN 47557",-,862249,173,393438
2012,1202167,Freelandville Mine,Indiana,Knox,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528",-,128460,31,58417
2012,1202167,Freelandville Mine,Indiana,Knox,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528",-,0,45,28296
2012,1202189,Air Quality South Wash Plant,Indiana,Knox,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd  Ste 100, Evansville, IN 47715",-,0,19,55491
2012,1202316,Freelandville Underground,Indiana,Knox,Active,Underground,Operating Subsidiary,Mine only,"Triad Underground Mining, L.L.","14972 East S.R. 58, Edwardsport, IN 47528",-,368964,47,112500
2012,1202339,Freelandville East,Indiana,Knox,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528",-,326835,22,49091
2012,1202394,Oaktown Fuels Mine No 1,Indiana,Knox,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Black Panther Mining Llc,"12661 N. Agricare Road, Oaktown, IN 47561",-,2754018,298,709217
2012,1202423,Freelandville West Underground,Indiana,Knox,Active,Underground,Indepedent Producer Operator,Mine only,Triad Underground Mining L.L.C,"13333 E Hartsburg Rd, Edwardsport, IN 47528",-,303527,48,103929
2012,1200330,Log Creek Loadout Facility,Indiana,Pike,Active,Surface,Operating Subsidiary,Preparation Plant,Triad Mining Inc.,"14521 E State Rd 58, Edwardsport, IN 47528",-,0,14,33942
2012,1201978,Solar Sources Preparation Plan,Indiana,Pike,"Active, men working, not producing",Surface,Indepedent Producer Operator,Preparation Plant,Solar Sources Inc,"Post Office Box 7, Petersburg, IN 47567",-,0,10,26655
2012,1202249,Prosperity Mine,Indiana,Pike,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Five Star Mining Inc,"6594 W State Rd 56, Petersburg, IN 47567",-,2072357,371,996389
2012,1202320,Augusta Mine,Indiana,Pike,"Active, men working, not producing",Surface,Operating Subsidiary,Mine and Preparation Plant,Triad Mining Inc.,"14521 E. State Road 58, Edwardsport, IN 47528",-,304818,22,55456
2012,1202325,Hurricane Creek,Indiana,Pike,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc,"14521 E St Rd 58, Edwardsport, IN 47528",-,50281,8,18985
